level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	21	1	0	0	568	344	205	17	-1	
4	1	21	1	1	0	568	344	205	17	-1	
5	1	21	1	1	1	568	344	111	17	67.793060	CCtalki
5	1	21	1	1	2	629	340	17	29	0.000000	果
5	1	21	1	1	3	645	340	23	29	1.968498	程
5	1	21	1	1	4	667	340	12	29	91.173386	号
5	1	21	1	1	5	678	340	10	29	91.649139	:
5	1	21	1	1	6	691	345	82	14	96.718430	90856492
2	1	22	0	0	0	116	313	109	55	-1	
3	1	22	1	0	0	116	313	109	55	-1	
4	1	22	1	1	0	116	313	109	55	-1	
5	1	22	1	1	1	116	309	36	68	29.709465	es
5	1	22	1	1	2	191	313	34	45	38.467232	8
2	1	23	0	0	0	568	368	180	18	-1	
3	1	23	1	0	0	568	368	180	18	-1	
4	1	23	1	1	0	568	368	180	18	-1	
5	1	23	1	1	1	568	368	77	18	89.540794	行
5	1	23	1	1	2	593	364	18	31	92.991043	测
5	1	23	1	1	3	610	368	20	18	91.443993	套
5	1	23	1	1	4	629	364	17	31	93.116425	题
5	1	23	1	1	5	645	364	10	31	92.953285	11
5	1	23	1	1	6	664	377	14	1	92.710419	一
5	1	23	1	1	7	678	368	70	17	74.278175	常识
5	1	23	1	1	8	719	364	18	31	96.873184	部
5	1	23	1	1	9	736	364	16	31	91.373764	分
2	1	24	0	0	0	428	400	21	10	-1	
3	1	24	1	0	0	428	400	21	10	-1	
4	1	24	1	1	0	428	400	21	10	-1	
5	1	24	1	1	1	428	400	21	10	79.750771	8:46
2	1	25	0	0	0	568	424	29	1	-1	
3	1	25	1	0	0	568	424	29	1	-1	
4	1	25	1	1	0	568	424	29	1	-1	
5	1	25	1	1	1	568	424	29	1	61.361542	一
5	1	25	1	1	2	590	406	11	28	49.244865	一
2	1	26	0	0	0	568	392	238	17	-1	
3	1	26	1	0	0	568	392	238	17	-1	
4	1	26	1	1	0	568	392	238	17	-1	
5	1	26	1	1	1	568	392	90	14	92.310616	2023.11.20
5	1	26	1	1	2	669	392	48	17	92.635468	(明天
5	1	26	1	1	3	712	387	10	28	91.894913	)
5	1	26	1	1	4	728	392	78	14	88.148361	7:00-8:00
2	1	27	0	0	0	659	424	60	1	-1	
3	1	27	1	0	0	659	424	60	1	-1	
4	1	27	1	1	0	659	424	60	1	-1	
5	1	27	1	1	1	659	424	60	1	31.023643	a
2	1	28	0	0	0	70	438	12	8	-1	
3	1	28	1	0	0	70	438	12	8	-1	
4	1	28	1	1	0	70	438	12	8	-1	
5	1	28	1	1	1	70	438	12	8	87.638596	Ge
2	1	29	0	0	0	116	389	129	51	-1	
3	1	29	1	0	0	116	389	129	51	-1	
4	1	29	1	1	0	116	389	129	51	-1	
5	1	29	1	1	1	116	406	24	20	34.945175	wo
5	1	29	1	1	2	180	389	65	51	73.641777	图
5	1	29	1	1	3	226	385	23	59	81.201569	:
2	1	30	0	0	0	272	424	41	13	-1	
3	1	30	1	0	0	272	424	41	13	-1	
4	1	30	1	1	0	272	424	41	13	-1	
5	1	30	1	1	1	272	424	41	13	95.952858	自学
5	1	30	1	1	2	305	420	9	26	93.278259	网
5	1	30	1	1	3	313	420	4	26	73.008286	:
2	1	31	0	0	0	384	425	45	12	-1	
3	1	31	1	0	0	384	425	45	12	-1	
4	1	31	1	1	0	384	425	45	12	-1	
5	1	31	1	1	1	384	425	30	11	88.805008	CAD
5	1	31	1	1	2	420	427	9	10	63.006229	底
5	1	31	1	1	3	429	418	4	28	67.387383	.
2	1	32	0	0	0	4	438	34	12	-1	
3	1	32	1	0	0	4	438	34	12	-1	
4	1	32	1	1	0	4	438	34	12	-1	
5	1	32	1	1	1	4	438	34	12	43.742912	2280)
2	1	33	0	0	0	68	446	14	3	-1	
3	1	33	1	0	0	68	446	14	3	-1	
