level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
2	1	23	0	0	0	312	424	119	14	-1	
3	1	23	1	0	0	312	424	119	14	-1	
4	1	23	1	1	0	312	424	119	14	-1	
5	1	23	1	1	1	312	424	4	14	84.000107	「
5	1	23	1	1	2	322	424	54	14	93.258812	事业
5	1	23	1	1	3	358	420	14	26	90.784698	编
5	1	23	1	1	4	376	420	14	26	63.700394	」
5	1	23	1	1	5	386	424	45	13	48.509186	招
5	1	23	1	1	6	403	420	11	26	96.963585	9
5	1	23	1	1	7	413	420	11	26	89.132011	名
5	1	23	1	1	8	423	420	12	26	49.123741	..
2	1	24	0	0	0	4	438	34	12	-1	
3	1	24	1	0	0	4	438	34	12	-1	
4	1	24	1	1	0	4	438	34	12	-1	
5	1	24	1	1	1	4	438	34	12	76.910179	3285)
2	1	25	0	0	0	115	471	26	3	-1	
3	1	25	1	0	0	115	471	26	3	-1	
4	1	25	1	1	0	115	471	26	3	-1	
5	1	25	1	1	1	115	471	26	3	59.774532	oe
2	1	26	0	0	0	119	477	18	12	-1	
3	1	26	1	0	0	119	477	18	12	-1	
4	1	26	1	1	0	119	477	18	12	-1	
5	1	26	1	1	1	119	477	18	12	45.195827	IN
2	1	27	0	0	0	238	477	28	17	-1	
3	1	27	1	0	0	238	477	28	17	-1	
4	1	27	1	1	0	238	477	28	17	-1	
5	1	27	1	1	1	238	477	28	17	92.946426	文
5	1	27	1	1	2	260	470	9	28	24.261337	但
2	1	28	0	0	0	416	481	34	10	-1	
3	1	28	1	0	0	416	481	34	10	-1	
4	1	28	1	1	0	416	481	34	10	-1	
5	1	28	1	1	1	416	481	34	10	65.982048	04/27
2	1	29	0	0	0	239	506	200	16	-1	
3	1	29	1	0	0	239	506	200	16	-1	
4	1	29	1	1	0	239	506	200	16	-1	
5	1	29	1	1	1	239	506	37	15	24.649216	[ZH]
5	1	29	1	1	2	283	506	28	13	85.355438	章鱼
5	1	29	1	1	3	322	507	70	15	86.116829	(Octopus)
5	1	29	1	1	4	403	506	36	13	80.057022	客户
5	1	29	1	1	5	434	494	10	34	48.133369	..
2	1	30	0	0	0	2	540	30	11	-1	
3	1	30	1	0	0	2	540	30	11	-1	
4	1	30	1	1	0	2	540	30	11	-1	
5	1	30	1	1	1	2	540	30	11	4.922493	be)
2	1	31	0	0	0	66	544	10	4	-1	
3	1	31	1	0	0	66	544	10	4	-1	
4	1	31	1	1	0	66	544	10	4	-1	
5	1	31	1	1	1	66	544	10	4	36.618240	ge
2	1	32	0	0	0	2	563	24	8	-1	
3	1	32	1	0	0	2	563	24	8	-1	
4	1	32	1	1	0	2	563	24	8	-1	
5	1	32	1	1	1	2	563	24	8	27.759918	nics
2	1	33	0	0	0	67	563	18	12	-1	
3	1	33	1	0	0	67	563	18	12	-1	
4	1	33	1	1	0	67	563	18	12	-1	
5	1	33	1	1	1	67	563	18	12	34.631248	alg
2	1	34	0	0	0	426	563	23	10	-1	
3	1	34	1	0	0	426	563	23	10	-1	
4	1	34	1	1	0	426	563	23	10	-1	
5	1	34	1	1	1	426	563	23	10	83.967865	8:39
2	1	35	0	0	0	287	587	145	13	-1	
3	1	35	1	0	0	287	587	145	13	-1	
4	1	35	1	1	0	287	587	145	13	-1	
5	1	35	1	1	1	287	587	49	13	26.430595	SBCs
5	1	35	1	1	2	340	587	92	13	3.709946	MEERA.
2	1	36	0	0	0	180	628	161	19	-1	
3	1	36	1	0	0	180	628	161	19	-1	
4	1	36	1	1	0	180	628	161	19	-1	
5	1	36	1	1	1	180	628	117	19	33.522789	|
