level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	25	1	1	5	314	231	13	31	93.109772	复
5	1	25	1	1	6	326	231	7	31	74.363541	-
2	1	26	0	0	0	401	262	24	13	-1	
3	1	26	1	0	0	401	262	24	13	-1	
4	1	26	1	1	0	401	262	24	13	-1	
5	1	26	1	1	1	401	262	24	13	52.146545	iB.
2	1	27	0	0	0	24	334	63	12	-1	
3	1	27	1	0	0	24	334	63	12	-1	
4	1	27	1	1	0	24	334	63	12	-1	
5	1	27	1	1	1	24	337	16	8	69.579163	cle...
5	1	27	1	1	2	59	334	28	12	0.812347	Cesel
2	1	28	0	0	0	238	316	122	17	-1	
3	1	28	1	0	0	238	316	122	17	-1	
4	1	28	1	1	0	238	316	122	17	-1	
5	1	28	1	1	1	238	316	122	17	31.886383	EATS
2	1	29	0	0	0	315	343	43	15	-1	
3	1	29	1	0	0	315	343	43	15	-1	
4	1	29	1	1	0	315	343	43	15	-1	
5	1	29	1	1	1	315	343	29	15	88.693245	语音
5	1	29	1	1	2	342	338	6	28	93.127876	]
5	1	29	1	1	3	351	344	7	11	51.706924	2
2	1	30	0	0	0	238	398	18	8	-1	
3	1	30	1	0	0	238	398	18	8	-1	
4	1	30	1	1	0	238	398	18	8	-1	
5	1	30	1	1	1	238	398	18	8	27.187836	oe
2	1	31	0	0	0	191	404	63	23	-1	
3	1	31	1	0	0	191	404	63	23	-1	
4	1	31	1	1	0	191	404	63	23	-1	
5	1	31	1	1	1	191	408	9	19	5.742401	1
5	1	31	1	1	2	241	404	13	23	53.162785	一
2	1	32	0	0	0	238	424	46	13	-1	
3	1	32	1	0	0	238	424	46	13	-1	
4	1	32	1	1	0	238	424	46	13	-1	
5	1	32	1	1	1	238	424	46	13	32.913811	BN16.
2	1	33	0	0	0	357	424	66	13	-1	
3	1	33	1	0	0	357	424	66	13	-1	
4	1	33	1	1	0	357	424	66	13	-1	
5	1	33	1	1	1	357	424	8	10	29.990288	f@
5	1	33	1	1	2	375	420	14	26	72.505432	」
5	1	33	1	1	3	387	424	36	13	50.835625	招
5	1	33	1	1	4	403	420	11	26	96.979950	9
5	1	33	1	1	5	413	420	14	26	96.638374	名
2	1	34	0	0	0	115	472	26	17	-1	
3	1	34	1	0	0	115	472	26	17	-1	
4	1	34	1	1	0	115	472	26	17	-1	
5	1	34	1	1	1	115	472	26	17	79.104706	W
2	1	35	0	0	0	238	477	105	18	-1	
3	1	35	1	0	0	238	477	105	18	-1	
4	1	35	1	1	0	238	477	105	18	-1	
5	1	35	1	1	1	238	473	44	32	96.712143	文件
5	1	35	1	1	2	282	473	34	32	95.669495	传输
5	1	35	1	1	3	316	478	27	16	88.221146	助手
2	1	36	0	0	0	629	476	74	14	-1	
3	1	36	1	0	0	629	476	74	14	-1	
4	1	36	1	1	0	629	476	74	14	-1	
5	1	36	1	1	1	629	476	74	14	77.809990	@
5	1	36	1	1	2	647	472	17	26	60.808254	花
5	1	36	1	1	3	664	472	15	26	93.138084	生
5	1	36	1	1	4	678	472	17	26	93.106544	十
5	1	36	1	1	5	694	472	13	26	95.298187	三
2	1	37	0	0	0	258	509	14	10	-1	
3	1	37	1	0	0	258	509	14	10	-1	
4	1	37	1	1	0	258	509	14	10	-1	
5	1	37	1	1	1	258	509	14	10	27.226196	fe
2	1	38	0	0	0	486	467	36	53	-1	
3	1	38	1	0	0	486	467	81	53	-1	
4	1	38	1	1	0	486	467	36	53	-1	
5	1	38	1	1	1	486	467	36	53	16.880463	<<
2	1	39	0	0	0	568	511	9	6	-1	
3	1	39	1	0	0	568	511	9	6	-1	
4	1	39	1	1	0	568	511	9	6	-1	
5	1	39	1	1	1	568	511	9	6	76.424927	2
2	1	40	0	0	0	298	507	79	15	-1	
3	1	40	1	0	0	298	507	79	15	-1	
4	1	40	1	1	0	298	507	79	15	-1	
5	1	40	1	1	1	298	507	13	12	85.663422	鱼
5	1	40	1	1	2	328	507	49	15	88.795708	(Octopu
2	1	41	0	0	0	603	511	128	17	-1	
3	1	41	1	0	0	603	511	128	17	-1	
4	1	41	1	1	0	603	511	128	17	-1	
5	1	41	1	1	1	603	511	128	17	79.499855	面试
5	1	41	1	1	2	647	507	18	31	91.476105	越
5	1	41	1	1	3	664	507	19	31	94.230766	来
5	1	41	1	1	4	682	507	18	31	91.049759	越
5	1	41	1	1	5	699	507	15	31	92.155861	近
