level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	13	1	1	2	745	326	180	18	0.000000	SUTRAS
5	1	13	1	1	3	838	322	17	31	20.526512	Li
5	1	13	1	1	4	861	326	64	18	0.000000	EBSL:
5	1	13	1	1	5	938	330	51	16	96.259438	system
5	1	13	1	1	6	998	330	55	16	92.994247	prompt
5	1	13	1	1	7	1066	322	60	31	0.000000	BES88
5	1	13	1	1	8	1134	329	26	13	61.884892	GUI
5	1	13	1	1	9	1173	327	82	17	0.000000	[SRE
5	1	13	1	1	10	1267	327	75	17	0.000000	TE—
5	1	13	1	1	11	1351	330	85	15	87.394493	show_step
5	1	13	1	1	12	1453	327	47	18	47.083683	GHEE)
5	1	13	1	1	13	1513	335	12	3	77.809540	—
4	1	13	1	2	0	749	352	862	18	-1	
5	1	13	1	2	1	749	354	115	15	78.550079	List_windows
5	1	13	1	2	2	876	359	12	5	49.275162	—
5	1	13	1	2	3	898	354	184	15	91.089806	window_minimize_all
5	1	13	1	2	4	1091	354	7	15	93.109406	/
5	1	13	1	2	5	1107	354	115	15	91.538612	window_focus
5	1	13	1	2	6	1232	354	7	15	91.188843	/
5	1	13	1	2	7	1248	354	174	16	90.979309	window_set_topmost
5	1	13	1	2	8	1434	359	7	5	77.900261	—
5	1	13	1	2	9	1452	352	34	17	33.056969	#{F
5	1	13	1	2	10	1493	360	12	3	4.297142	—
5	1	13	1	2	11	1516	354	95	16	88.867500	hide_step,
2	1	14	0	0	0	745	376	233	18	-1	
3	1	14	1	0	0	745	376	233	18	-1	
4	1	14	1	1	0	745	376	233	18	-1	
5	1	14	1	1	1	745	376	75	18	10.479492	FBS
5	1	14	1	1	2	837	376	70	18	35.304253	RRA
5	1	14	1	1	3	920	377	58	17	32.599213	RSH.
2	1	15	0	0	0	729	411	898	69	-1	
3	1	15	1	0	0	729	411	898	69	-1	
4	1	15	1	1	0	729	411	896	19	-1	
5	1	15	1	1	1	729	416	6	11	85.487053	3.
5	1	15	1	1	2	745	412	145	18	5.618973	SORAOMEIMGM:
5	1	15	1	1	3	904	412	86	18	0.000000	PADEEER
5	1	15	1	1	4	999	415	154	15	91.085869	MAX_TOOL_ROUNDS
5	1	15	1	1	5	1152	407	7	28	88.559723	,
