level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	4	1	1	5	566	476	140	17	0.000000	BRRUUEB
5	1	4	1	1	6	682	471	22	32	40.494083	IR
5	1	4	1	1	7	717	476	42	17	32.577965	[HUE
5	1	4	1	1	8	764	477	32	14	91.767654	shift
5	1	4	1	1	9	801	475	35	18	13.184280	ASS
5	1	4	1	1	10	842	478	7	13	82.030609	5
5	1	4	1	1	11	855	475	59	18	49.465485	SCE]
5	1	4	1	1	12	927	471	86	32	0.000000	AUERSIMT
5	1	4	1	1	13	1036	471	62	32	0.000000	EES
5	1	4	1	1	14	1106	481	9	9	92.967674	+
5	1	4	1	1	15	1121	476	36	17	29.921280	SES
5	1	4	1	1	16	1163	481	9	9	94.303665	+
5	1	4	1	1	17	1179	475	51	18	37.574196	BES
5	1	4	1	1	18	1237	481	9	9	91.892471	+
5	1	4	1	1	19	1255	471	99	32	0.000000	TEESTUATID
5	1	4	1	1	20	1375	471	43	32	40.348480	ER?
4	1	4	1	2	0	29	506	392	18	-1	
5	1	4	1	2	1	29	506	60	16	0.000000	HEB
5	1	4	1	2	2	100	509	44	15	93.522247	Agent
5	1	4	1	2	3	161	507	1	14	91.353096	|
5	1	4	1	2	4	179	506	23	16	34.246384	ie
5	1	4	1	2	5	260	507	1	14	86.688225	|
5	1	4	1	2	6	280	506	74	16	21.036522	SHES
5	1	4	1	2	7	361	506	60	16	30.847046	BERR
2	1	5	0	0	0	656	437	385	2	-1	
3	1	5	1	0	0	656	437	385	2	-1	
4	1	5	1	1	0	656	437	385	2	-1	
5	1	5	1	1	1	656	437	385	2	95.000000	 
2	1	6	0	0	0	600	570	845	18	-1	
3	1	6	1	0	0	600	570	845	18	-1	
4	1	6	1	1	0	600	570	845	18	-1	
5	1	6	1	1	1	600	573	14	15	80.425072	@
5	1	6	1	1	2	647	572	10	13	13.029106	4
5	1	6	1	1	3	662	570	105	17	0.000000	tewem
5	1	6	1	1	4	778	572	8	12	0.000000	¢
5	1	6	1	1	5	1329	572	37	12	40.073376	+343
5	1	6	1	1	6	1374	572	26	12	40.073376	-17
5	1	6	1	1	7	1412	564	11	30	67.759094	|
5	1	6	1	1	8	1431	571	14	14	83.170265	A
2	1	7	0	0	0	576	654	321	16	-1	
3	1	7	1	0	0	576	654	321	16	-1	
4	1	7	1	1	0	576	654	321	16	-1	
5	1	7	1	1	1	576	655	54	14	61.340096	Oe
5	1	7	1	1	2	656	655	14	14	52.371754	&
5	1	7	1	1	3	695	654	16	15	58.456245	OH
5	1	7	1	1	4	735	655	16	15	26.577469	GD
5	1	7	1	1	5	760	650	11	29	24.227058	|
5	1	7	1	1	6	790	655	31	15	55.188820	i
5	1	7	1	1	7	830	650	13	29	34.920258	<$
5	1	7	1	1	8	852	657	45	11	64.364014	367.70
2	1	8	0	0	0	0	23	481	691	-1	
3	1	8	1	0	0	0	23	481	691	-1	
4	1	8	1	1	0	0	23	481	691	-1	
5	1	8	1	1	1	0	23	481	691	95.000000	 
2	1	9	0	0	0	581	719	495	16	-1	
3	1	9	1	0	0	581	719	495	16	-1	
4	1	9	1	1	0	581	719	495	16	-1	
5	1	9	1	1	1	581	720	37	15	37.611351	FES,
5	1	9	1	1	2	630	720	80	15	0.000000	UPB
5	1	9	1	1	3	688	715	20	29	0.000000	IR
5	1	9	1	1	4	721	720	39	15	61.030495	[HAE
5	1	9	1	1	5	764	721	30	12	96.133446	shift
5	1	9	1	1	6	799	720	32	15	19.076385	AES
5	1	9	1	1	7	837	722	7	11	87.659981	5
5	1	9	1	1	8	849	719	55	16	10.479729	POC]
5	1	9	1	1	9	915	720	161	15	0.000000	BORNE
2	1	10	0	0	0	560	904	934	48	-1	
3	1	10	1	0	0	560	904	934	48	-1	
4	1	10	1	1	0	560	904	934	48	-1	
5	1	10	1	1	1	560	921	14	14	92.293022	+
5	1	10	1	1	2	605	920	109	17	0.000000	GEveit-y
5	1	10	1	1	3	746	921	63	14	37.119949	Gav
5	1	10	1	1	4	1164	921	182	17	13.712662	DeepSeek-V4-ProiF..
5	1	10	1	1	5	1374	926	7	4	53.886795	-
5	1	10	1	1	6	1419	920	12	16	70.489082	@
5	1	10	1	1	7	1446	904	28	48	23.748772	fi
5	1	10	1	1	8	1486	904	8	48	59.873199	|
